London Stock Exchange Group PLC,LSE.L,13-Nov-2013,U,N/A,Add
NTS Inc,NTS,13-Nov-2013,U,N/A,Add
Oldenburgische Landesbank AG,OLB.F,13-Nov-2013,U,N/A,Add
Physiomics PLC,PYC.L,13-Nov-2013,U,N/A,Add
Point.360,PTSX,13-Nov-2013,U,N/A,Add
Poseidon Concepts Corp,POOSF,13-Nov-2013,U,N/A,Add
Reed's Inc,REED,13-Nov-2013,U,0.01,Add
SSE PLC,SSE.L,13-Nov-2013,U,N/A,Add
Saker Aviation Services Inc,SKAS,13-Nov-2013,U,N/A,Add
Syneron Medical Ltd,ELOS,13-Nov-2013,U,0,Add
ThermoGenesis Corp,KOOL,13-Nov-2013,U,N/A,Add
Utilico Emerging Markets Ltd,UEM.L,13-Nov-2013,U,N/A,Add
Velti PLC,VELT,13-Nov-2013,U,-0.2,Add
iSoftStone Holdings Ltd,ISS,13-Nov-2013,U,0.04,Add
Ambac Financial Group Inc,AMBC,14-Nov-2013,B,-0.22,Add
American DG Energy Inc,ADGE,14-Nov-2013,B,-0.02,Add
Birner Dental Management Services Inc,BDMS,14-Nov-2013,B,N/A,Add
Brooks Automation Inc,BRKS,14-Nov-2013,B,0.04,Add
Cardium Therapeutics Inc,CXM,14-Nov-2013,B,-0.24,Add
Century Casinos Inc,CNTY,14-Nov-2013,B,0.07,Add
Chimerix Inc,CMRX,14-Nov-2013,B,-0.39,Add
Commtouch Software Ltd,CTCH,14-Nov-2013,B,0.02,Add
Cosi Inc,COSI,14-Nov-2013,B,-0.01,Add
Diana Containerships Inc,DCIX,14-Nov-2013,B,-0.04,Add
E Commerce China Dangdang Inc,DANG,14-Nov-2013,B,-0.12,Add
GasLog Ltd,GLOG,14-Nov-2013,B,0.18,Add
Global Ship Lease Inc,GSL,14-Nov-2013,B,0.13,Add
Global Sources Ltd,GSOL,14-Nov-2013,B,0.14,Add
Global Telecom & Technology Inc,GTT,14-Nov-2013,B,-0.09,Add
Helmerich & Payne Inc,HP,14-Nov-2013,B,1.41,Add
IFM Investments Ltd,CTC,14-Nov-2013,B,-0.16,Add
Kohl's Corp,KSS,14-Nov-2013,B,0.86,Add
MFC Industrial Ltd,MIL,14-Nov-2013,B,N/A,Add
Multimedia Games Holding Company Inc,MGAM,14-Nov-2013,B,0.27,Add
New Source Energy Partners LP,NSLP,14-Nov-2013,B,0.37,Add
Norcros PLC,NXR.L,14-Nov-2013,B,N/A,Add
PFSweb Inc,PFSW,14-Nov-2013,B,-0.16,Add
PTC Therapeutics Inc,PTCT,14-Nov-2013,B,-0.3,Add
Penford Corp,PENX,14-Nov-2013,B,0.13,Add
Plug Power Inc,PLUG,14-Nov-2013,B,-0.08,Add
RMG Networks Holding Corp,RMGN,14-Nov-2013,B,N/A,Add
Sally Beauty Holdings Inc,SBH,14-Nov-2013,B,0.39,Add
Simcere Pharmaceutical Group,SCR,14-Nov-2013,B,N/A,Add
Sorl Auto Parts Inc,SORL,14-Nov-2013,B,0.19,Add
Suburban Propane Partners LP,SPH,14-Nov-2013,B,-0.88,Add
Synthetic Biologics Inc,SYN,14-Nov-2013,B,N/A,Add
TransDigm Group Inc,TDG,14-Nov-2013,B,1.71,Add
Tyco International Ltd,TYC,14-Nov-2013,B,0.52,Add
UTStarcom Holdings Corp,UTSI,14-Nov-2013,B,N/A,Add
Viacom Inc,VIAB,14-Nov-2013,B,1.45,Add
VirtualScopics Inc,VSCP,14-Nov-2013,B,N/A,Add
Wal-Mart Stores Inc,WMT,14-Nov-2013,B,1.13,Add
IntriCon Corp,IIN,14-Nov-2013,D,N/A,Add
Adcare Health Systems Inc,ADK,14-Nov-2013,A,-0.15,Add
Agilent Technologies Inc,A,14-Nov-2013,A,0.76,Add
Applied Materials Inc,AMAT,14-Nov-2013,A,0.18,Add
Astea International Inc,ATEA,14-Nov-2013,A,N/A,Add
Athersys Inc,ATHX,14-Nov-2013,A,-0.12,Add
Authentidate Holding Corp,ADAT,14-Nov-2013,A,N/A,Add
Bona Film Group Ltd,BONA,14-Nov-2013,A,0.04,Add
China Cord Blood Corp,CO,14-Nov-2013,A,0.06,Add
China Hydroelectric Corp,CHC,14-Nov-2013,A,N/A,Add
Constellation Energy Partners LLC,CEP,14-Nov-2013,A,0.01,Add
Flexible Solutions International Inc,FSI,14-Nov-2013,A,-0.01,Add
Home Inns & Hotels Management Inc,HMIN,14-Nov-2013,A,2.98,Add
KYTHERA Biopharmaceuticals Inc,KYTH,14-Nov-2013,A,-0.72,Add
Kingold Jewelry Inc,KGJI,14-Nov-2013,A,N/A,Add
Lifeway Foods Inc,LWAY,14-Nov-2013,A,0.1,Add
MTS Systems Corp,MTSC,14-Nov-2013,A,1.11,Add
Matthews International Corp,MATW,14-Nov-2013,A,0.75,Add
PLC Systems Inc,PLCSF,14-Nov-2013,A,-0.01,Add
S&W Seed Co,SANW,14-Nov-2013,A,0.04,Add
Tri-Tech Holding Inc,TRIT,14-Nov-2013,A,N/A,Add
US Geothermal Inc,HTM,14-Nov-2013,A,N/A,Add
Vermillion Inc,VRML,14-Nov-2013,A,N/A,Add
WidePoint Corp,WYY,14-Nov-2013,A,0.01,Add
Youku Tudou Inc,YOKU,14-Nov-2013,A,-0.39,Add
3i Group PLC,III.L,14-Nov-2013,U,N/A,Add
Absolute Return Trust Ltd,ABR.L,14-Nov-2013,U,N/A,Add
